Organization_Name,Organization_Name_URL,Founded_Date,Founders,Number_of_Employees,Description,Industries,Industry_Groups,Headquarters_Location,Headquarters_Regions,Operating_Status,Funding_Status,Number_of_Funding_Rounds,Last_Funding_Amount,Last_Funding_Amount_Currency,Last_Funding_Date,Last_Funding_Type,Total_Funding_Amount,Total_Funding_Amount_Currency,Number_of_Lead_Investors,Top_5_Investors,Trend_Score_7_Days,Trend_Score_30_Days,Trend_Score_90_Days,Growth_Trend,Active_Hiring,Region_Local,Region_Mid,Region_Broad,Industry_Category
Enstyle,https://www.crunchbase.com/organization/enstyle,2024-02-01,"Alina Veselaya, Anton Pershin, Eric Prengel",11-50,Enstyle builds Al assistants that help fashion brands identify and instantly validate fashion trends from concept to collection,"Analytics, Apparel, Artificial Intelligence (AI), Computer Vision, Fashion, Machine Learning, Retail, Retail Technology, Textiles","Artificial Intelligence (AI), Clothing and Apparel, Commerce and Shopping, Data and Analytics, Design, Hardware, Manufacturing, Science and Engineering, Software","New York, New York, United States","Greater New York Area, East Coast, Northeastern US",Active,Seed,1,180000.0,USD,2024-02-29,Pre-Seed,180000.0,USD,0.0,Antler,-0.3,-0.5,-0.1,50.00%,N,Greater New York Area,East Coast,Northeastern US,AI & Data
Cirata,https://www.crunchbase.com/organization/wandisco,2023-01-01,"David Richards, Jim Campigli, Rahul Bhargava, Yeturu Aahlad",51-100,Cirata is a software development industry collaboration software vendor.,"Consulting, Data Integration, Information Technology, Professional Services, Software","Data and Analytics, Information Technology, Other, Professional Services, Software","San Ramon, California, United States","San Francisco Bay Area, West Coast, Western US",Active,IPO,7,7200000.0,USD,2024-07-16,Post-IPO Equity,140747147.0,USD,0.0,"HSBC, Acacia Partners, Davis Partnership Architects, Herald Ventures, Acacia Conservation Fund",-0.4,-0.6,2.7,25.00%,Y,San Francisco Bay Area,West Coast,Western US,Enterprise Software
MetaCato,https://www.crunchbase.com/organization/metacato,2023-01-01,Unknown,11-50,MetaCato is a technology company.,Unknown,Unknown,"Irving, Texas, United States","Dallas/Fort Worth Metroplex, Southern US",Active,Unknown,1,3000000.0,USD,2024-01-16,Venture - Series Unknown,3000000.0,USD,0.0,Unknown,0.6,1.0,3.7,240.00%,N,Dallas/Fort Worth Metroplex,Unknown,Southern US,Unknown
ROAR Games,https://www.crunchbase.com/organization/roar-games,2023-01-01,Artem Shcherbakov,11-50,"ROAR Games is an independent gaming studio developing Tenet of the Spark, an original single-player action game for PC and consoles.","Console Games, Online Games, PC Games",Gaming,"Brooklyn, New York, United States","Greater New York Area, East Coast, Northeastern US",Active,Seed,1,1500000.0,USD,2024-03-13,Seed,1500000.0,USD,1.0,The Games Fund,-0.1,-0.1,0.5,42.00%,Y,Greater New York Area,East Coast,Northeastern US,Other
Anagram,https://www.crunchbase.com/organization/anagram-90bd,2023-01-01,"Austin Winfield, Bryce DeFigueiredo, Jeremy Fischer",11-50,"Shopping experience personalization with instant, individualized answers and recommendations.","Artificial Intelligence (AI), Information Technology, Machine Learning","Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software","Washington, District of Columbia, United States","Washington DC Metro Area, Southern US",Active,Seed,1,1200000.0,USD,2024-02-19,Pre-Seed,1200000.0,USD,2.0,"Kickstart, NextView Ventures",0.0,0.8,0.2,133.00%,N,Washington DC Metro Area,Unknown,Southern US,AI & Data
All in Food PBC,https://www.crunchbase.com/organization/all-in-food-pbc,2024-01-01,Unknown,11-50,All in Food PBC is a company.,Unknown,Unknown,"Los Angeles, California, United States","Greater Los Angeles Area, West Coast, Western US",Active,Seed,1,4000000.0,USD,2024-06-11,Seed,4000000.0,USD,0.0,Unknown,0.3,-0.3,0.0,15.00%,N,Greater Los Angeles Area,West Coast,Western US,Unknown
Konsuld,https://www.crunchbase.com/organization/konsuld,2024-03-13,"Anne Rojas, Dag Holmboe, Jan Heybroek, Stefan Glück, Todd Merrill",11-50,Collaboration Platform,"Health Care, Professional Networking","Community and Lifestyle, Health Care, Professional Services","Alpharetta, Georgia, United States","Greater Atlanta Area, East Coast, Southern US",Active,Seed,2,375000.0,USD,2024-12-16,Seed,675000.0,USD,2.0,"Angel Investor, Angel Investor",0.0,-0.3,0.9,14.00%,N,Greater Atlanta Area,East Coast,Southern US,Healthcare & Biotech
.dodocs,https://www.crunchbase.com/organization/dodocs,2023-06-22,Dan Gudkov,11-50,"developer tools for sales, customer support management, accounting processes automation with up to 50x ROI effect and 5x reduction in OPEX","Big Data, Developer APIs, Developer Tools, SaaS, Software","Data and Analytics, Software","Sheridan, Wyoming, United States",Western US,Active,Seed,2,0.0,USD,2024-09-10,Non-equity Assistance,400000.0,USD,1.0,Techstars New Orleans,0.1,0.1,0.7,14.00%,N,Western US,Unknown,Unknown,AI & Data
ClimateReady Tech Hub,https://www.crunchbase.com/organization/climateready-tech-hub,2023-01-01,Unknown,51-100,ClimateReady Tech Hub develops solutions to address how the environment and humanity are changing.,"Information Technology, Renewable Energy","Energy, Information Technology, Sustainability","South Bay, Florida, United States","Greater Miami Area, East Coast, Southern US",Active,Unknown,1,19500000.0,USD,2024-07-02,Grant,19500000.0,USD,1.0,"US Department of Commerce, Economic Development Administation",0.0,-0.4,2.3,0.00%,N,Greater Miami Area,East Coast,Southern US,Enterprise Software
Reteta,https://www.crunchbase.com/organization/reteta,2023-06-01,"Syeda Maria Hussain, Tariq Khan",11-50,"Reteta is transforming healthcare documentation with its advanced Ambient AI, enabling clinicians to focus more on patient care.","Artificial Intelligence (AI), Health Care","Artificial Intelligence (AI), Data and Analytics, Health Care, Science and Engineering, Software","Cranbury, New Jersey, United States","Greater New York Area, East Coast, Northeastern US",Active,Seed,1,2000000.0,USD,2024-10-02,Seed,2000000.0,USD,1.0,Visionet Ventures LLC,-0.2,-0.1,-0.3,36.00%,N,Greater New York Area,East Coast,Northeastern US,Healthcare & Biotech
PGxCare,https://www.crunchbase.com/organization/pgxcare,2023-09-01,Unknown,11-50,"PGxCare offers an AI capabilities, enabling analysis of pharmacogenetic data ensuring accurate results tailored to individual needs.","Artificial Intelligence (AI), Bioinformatics, Health Care, Life Science, Machine Learning","Artificial Intelligence (AI), Biotechnology, Data and Analytics, Health Care, Science and Engineering, Software","Palo Alto, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",Active,Seed,1,1500000.0,USD,2024-03-19,Seed,1500000.0,USD,1.0,"ATEM Capital Fund LP, Roman Smolevskiy",0.0,0.3,0.5,9.00%,Y,San Francisco Bay Area,Silicon Valley,Western US,Healthcare & Biotech
"Kurve, Inc.",https://www.crunchbase.com/organization/kurve-inc,2023-10-01,"John Corrigan, Wes Madrigal",11-50,Automated data discovery and understanding,"Artificial Intelligence (AI), Business Intelligence, Machine Learning","Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software","Miami, Florida, United States","Greater Miami Area, East Coast, Southern US",Active,Seed,1,600000.0,USD,2024-09-19,Pre-Seed,600000.0,USD,1.0,SRI Ventures,0.3,-0.2,-0.1,0.00%,N,Greater Miami Area,East Coast,Southern US,AI & Data
Mida Technologies Inc,https://www.crunchbase.com/organization/mida-technologies-inc,2023-09-23,"Adija Uzodinma, Mayowa Anibaba, Oke Egbi",51-100,"Debt Management solution, Collections and recovery","Consulting, Financial Services, SaaS, Software","Financial Services, Professional Services, Software","Dover, Delaware, United States","East Coast, Southern US",Active,Seed,1,450000.0,USD,2024-06-30,Pre-Seed,450000.0,USD,0.0,54 Collective,-0.2,-0.2,-0.1,22.00%,Y,East Coast,Unknown,Southern US,Fintech
Wren Asset Management,https://www.crunchbase.com/organization/wren-asset-management,2024-01-01,Unknown,11-50,Trading and Investment Firm,"Digital Marketing, Financial Services, FinTech","Financial Services, Sales and Marketing","New York, New York, United States","Greater New York Area, East Coast, Northeastern US",Active,Seed,1,100000.0,USD,2024-12-30,Seed,100000.0,USD,0.0,Unknown,0.0,1.4,1.9,2100.00%,N,Greater New York Area,East Coast,Northeastern US,Fintech
Jump Revenue,https://www.crunchbase.com/organization/jump-revenue,2024-01-01,Unknown,11-50,Jump Revenue is a company.,Unknown,Unknown,"Scarsdale, New York, United States","Greater New York Area, East Coast, Northeastern US",Active,Seed,1,872000.0,USD,2024-06-05,Seed,872000.0,USD,0.0,Unknown,-0.1,-0.2,1.1,33.00%,N,Greater New York Area,East Coast,Northeastern US,Unknown
Akela Hub,https://www.crunchbase.com/organization/akela-hub,2024-01-01,Unknown,11-50,Akela Hub is an AI-powered platform enabling innovators to find solutions to difficulties.,"Artificial Intelligence (AI), Internet, Software","Artificial Intelligence (AI), Data and Analytics, Internet Services, Science and Engineering, Software","South Holland, Illinois, United States","Greater Chicago Area, Great Lakes, Midwestern US",Active,Seed,1,1000000.0,EUR,2024-02-21,Seed,1000000.0,EUR,1.0,"Antenna Ventures, Unknown Group, Giels Brouwer",0.9,2.2,-0.4,9.00%,N,Greater Chicago Area,Great Lakes,Midwestern US,AI & Data
Revfy AdTech // Powered by Snowflake,https://www.crunchbase.com/organization/revfy-adtech,2024-01-27,"Guilherme Basani, Juliano Marques",11-50,"AdTech Platform, Data Ads, DSP, DMP, Data Management, Online Advertising","Advertising, Advertising Platforms, Data Integration, Data Management, Data Visualization, Information Technology","Advertising, Data and Analytics, Design, Information Technology, Sales and Marketing, Software","Miami, Florida, United States","Greater Miami Area, East Coast, Southern US",Active,Seed,2,200000.0,USD,2024-08-01,Seed,250000.0,USD,1.0,"Juliano Marques, André Baldin",0.3,-0.3,0.3,50.00%,N,Greater Miami Area,East Coast,Southern US,Enterprise Software
ReadyDig,https://www.crunchbase.com/organization/readydig,2024-01-01,Unknown,11-50,"ReadyDig is a retail company that offers heavy equipment such as excavators, compactors, wheel loaders, road graders and haul trucks.","Construction, Machinery Manufacturing, Retail","Commerce and Shopping, Manufacturing, Real Estate","Hudson, Colorado, United States","Greater Denver Area, Western US",Active,Seed,2,750000.0,USD,2024-08-22,Seed,750000.0,USD,0.0,Unknown,0.0,-0.2,1.5,35.00%,N,Greater Denver Area,Unknown,Western US,E-Commerce & Retail
Glui,https://www.crunchbase.com/organization/glui-3213,2024-01-01,Unknown,11-50,Glui is an integrated adtech platform that offers interactive advertisements on social media post or website banner.,"Advertising, Analytics, Marketing, SaaS","Advertising, Data and Analytics, Sales and Marketing, Software","Atlanta, Georgia, United States","Greater Atlanta Area, East Coast, Southern US",Active,Seed,1,1874851.0,USD,2024-03-26,Seed,1874851.0,USD,0.0,Unknown,-0.1,-0.4,-0.3,50.00%,N,Greater Atlanta Area,East Coast,Southern US,AI & Data
Walker's Bluff Casino Resort,https://www.crunchbase.com/organization/walker-s-bluff-casino-resort,2023-01-01,Unknown,101-250,Walker's Bluff Casino Resort is a casino resort.,"Casino, Gaming, Media and Entertainment","Gaming, Media and Entertainment, Travel and Tourism","Carterville, Illinois, United States","Great Lakes, Midwestern US",Active,Seed,1,1810919.0,USD,2024-01-26,Seed,1810919.0,USD,0.0,Unknown,-0.1,-0.4,-0.6,13.00%,Y,Great Lakes,Unknown,Midwestern US,Media & Marketing
ContributionDAO,https://www.crunchbase.com/organization/contributiondao,2023-01-01,Unknown,11-50,ContributionDAO provides a platform for institutional staking.,"Blockchain, Service Industry","Blockchain and Cryptocurrency, Other","Wyoming, Michigan, United States","Great Lakes, Midwestern US",Active,Seed,1,2800000.0,USD,2024-02-28,Seed,2800000.0,USD,1.0,KXVC,0.7,0.0,-1.1,0.00%,N,Great Lakes,Unknown,Midwestern US,Fintech
Fair Math,https://www.crunchbase.com/organization/fair-math,2023-10-23,Unknown,11-50,"Fair Math is a research company with an open-source oriented approach, dedicated to addressing privacy challenges in the modern world.",Software,Software,"Delaware, Ohio, United States","Great Lakes, Midwestern US",Active,Seed,1,1400000.0,USD,2024-02-26,Pre-Seed,1400000.0,USD,3.0,"gumi Cryptos Capital (gCC), Inception Capital, Polymorphic Capital",0.2,0.7,-0.1,0.00%,N,Great Lakes,Unknown,Midwestern US,Enterprise Software
Big Idea,https://www.crunchbase.com/organization/big-idea-inc,2023-01-30,Nathan Hecker,11-50,"Big Idea is an AI-powered, blockchain-secured solution designed to help individuals, businesses and monetize their intellectual property.","Artificial Intelligence (AI), Information Technology, Intellectual Property, Legal Tech","Artificial Intelligence (AI), Data and Analytics, Information Technology, Professional Services, Science and Engineering, Software","Philadelphia, Pennsylvania, United States","Greater Philadelphia Area, Great Lakes, Northeastern US",Active,Seed,1,250000.0,USD,2024-05-30,Pre-Seed,250000.0,USD,0.0,Unknown,0.9,-0.3,-0.3,60.00%,N,Greater Philadelphia Area,Great Lakes,Northeastern US,AI & Data
Artify Magazine,https://www.crunchbase.com/organization/artify-magazine,2025-01-11,Nathan jackson,11-50,Magazine & Digital Publication,"Art, Beauty, Consulting, Digital Marketing, Events, Media and Entertainment, Music","Consumer Goods, Events, Media and Entertainment, Music and Audio, Professional Services, Sales and Marketing","Los Angeles, California, United States","Greater Los Angeles Area, West Coast, Western US",Active,Seed,1,300000.0,USD,2025-01-01,Seed,300000.0,USD,1.0,Nathan jackson,-0.2,-1.6,-1.0,0.00%,N,Greater Los Angeles Area,West Coast,Western US,Media & Marketing
Builder Backed,https://www.crunchbase.com/organization/builder-backed,2023-01-01,Unknown,11-50,Builder Backed platform connects homeowners with trusted local service providers.,"Home Services, Online Portals","Internet Services, Real Estate","Covington, Kentucky, United States",Southern US,Active,Seed,1,1999999.0,USD,2024-04-30,Seed,1999999.0,USD,0.0,Unknown,-0.1,-0.3,-1.0,38.00%,N,Southern US,Unknown,Unknown,Other
Colorado-Wyoming Climate Resilience Engine,https://www.crunchbase.com/organization/colorado-wyoming-climate-resilience-engine,2024-01-01,Unknown,11-50,Colorado-Wyoming Climate Resilience Engine mission is to bridge the skills gap in the climate technology sector.,"Environmental Consulting, Sustainability, Technical Support","Information Technology, Other, Professional Services, Sustainability","Fort Collins, Colorado, United States",Western US,Active,Unknown,1,15000000.0,USD,2024-01-29,Grant,15000000.0,USD,1.0,National Science Foundation,0.0,-0.2,-0.7,73.00%,Y,Western US,Unknown,Unknown,CleanTech & Energy
Heimdall Strategy Solutions,https://www.crunchbase.com/organization/heimdall-strategy-solutions,2024-09-01,Unknown,11-50,"Empowering next generation finance and communication for civic, non-profit and political impact with technology.","Consulting, Financial Services, Information Technology, Non Profit, Politics, Web Development","Financial Services, Government and Military, Information Technology, Other, Professional Services, Social Impact, Software","Frisco, Texas, United States","Dallas/Fort Worth Metroplex, Southern US",Active,Seed,1,1000000.0,USD,2024-08-15,Seed,1000000.0,USD,0.0,Unknown,-0.1,-0.2,2.2,150.00%,N,Dallas/Fort Worth Metroplex,Unknown,Southern US,Fintech
The Furniture App,https://www.crunchbase.com/organization/the-furniture-app,2023-01-01,"Colby St. Clair, Peace Chen",11-50,"The Furniture App automates furniture design, creating production-ready drawings and 3D renderings while streamlining workflows.","Furniture, Hospitality, Interior Design, SaaS","Consumer Goods, Design, Real Estate, Software, Travel and Tourism","Park City, Utah, United States",Western US,Active,Seed,1,345000.0,USD,2024-07-31,Pre-Seed,345000.0,USD,0.0,"Right Side Capital Management, Forum Ventures, Ted Fall, Daniel O'Leary",0.0,-0.1,-0.1,17.00%,N,Western US,Unknown,Unknown,Healthcare & Biotech
Cadynce,https://www.crunchbase.com/organization/cadynce,2023-01-01,"David Dozer, Kenneth Sewell",11-50,Cadynce helps businesses work smarter by making processes run better,"Business Development, Productivity Tools, Software","Professional Services, Software","Dallas, Texas, United States","Dallas/Fort Worth Metroplex, Southern US",Active,Seed,3,200000.0,USD,2024-06-01,Seed,710000.0,USD,0.0,Unknown,0.3,0.0,0.2,0.00%,N,Dallas/Fort Worth Metroplex,Unknown,Southern US,Enterprise Software
Chapter One,https://www.crunchbase.com/organization/chapter-one-0fed,2024-04-01,Alex Frost,51-100,Grow Your Home Service Business,"Artificial Intelligence (AI), Home Services, Professional Services, Software","Artificial Intelligence (AI), Data and Analytics, Other, Real Estate, Science and Engineering, Software","New York, New York, United States","Greater New York Area, East Coast, Northeastern US",Active,Seed,1,4000000.0,USD,2024-11-11,Pre-Seed,4000000.0,USD,0.0,"Slow Ventures, Freestyle Capital, Soma Capital, Offline Ventures",4.4,8.9,8.2,375.00%,Y,Greater New York Area,East Coast,Northeastern US,AI & Data
Galaxy Group,https://www.crunchbase.com/organization/galaxy-group,2023-01-01,Unknown,11-50,Galaxy Group is a independent social equity craft cannabis producer.,"Agriculture, Alternative Medicine, Cannabis","Agriculture and Farming, Community and Lifestyle, Food and Beverage, Health Care","Tinley Park, Illinois, United States","Greater Chicago Area, Great Lakes, Midwestern US",Active,Seed,1,850000.0,USD,2024-04-22,Seed,850000.0,USD,0.0,Unknown,0.1,1.3,2.4,0.00%,Y,Greater Chicago Area,Great Lakes,Midwestern US,Other
LemonRocks,https://www.crunchbase.com/organization/lemonrocks,2023-01-01,Yusuf Berkan Altun,11-50,LemonRocks is an AI-powered platform that provides instantaneous startup insights.,"Analytics, Artificial Intelligence (AI), Big Data, Business Intelligence, Funding Platform","Artificial Intelligence (AI), Data and Analytics, Financial Services, Lending and Investments, Science and Engineering, Software","San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",Active,Seed,1,750000.0,USD,2024-06-11,Pre-Seed,750000.0,USD,2.0,"H2O Investment, Storm Global",-0.1,0.3,-0.6,0.00%,N,San Francisco Bay Area,West Coast,Western US,AI & Data
Arriba Foods,https://www.crunchbase.com/organization/arriba-foods,2023-01-01,Unknown,51-100,Arriba Foods is a company.,Unknown,Unknown,"Houston, Texas, United States","Greater Houston Area, Southern US",Active,Seed,1,2281000.0,USD,2024-05-22,Seed,2281000.0,USD,0.0,Unknown,-0.1,-0.1,2.5,50.00%,N,Greater Houston Area,Unknown,Southern US,Unknown
Fourel Aviation Solutions Inc.,https://www.crunchbase.com/organization/fourel-aviation-solutions-inc,2023-05-11,"Andrey Los, Constantine Los, Dimitry Los, Serge Lekhterov",11-50,Web-based software for business aviation & charter brokers,"Aerospace, E-Commerce Platforms, Information Technology, Software","Commerce and Shopping, Information Technology, Internet Services, Science and Engineering, Software","Jersey City, New Jersey, United States","Greater New York Area, East Coast, Northeastern US",Active,Seed,2,250000.0,USD,2024-04-26,Pre-Seed,500000.0,USD,2.0,"Aquila Aviation, Osama Mohamed Shammat Salih",0.7,0.0,0.0,18.00%,N,Greater New York Area,East Coast,Northeastern US,Enterprise Software
Eve Companion,https://www.crunchbase.com/organization/eve-companion,2024-01-01,Unknown,11-50,Eve Companion is a supportive app designed specifically for seniors and individuals living alone.,"Elder Care, Health Care, Mental Health",Health Care,"Brooklyn, New York, United States","Greater New York Area, East Coast, Northeastern US",Active,Seed,1,145000.0,USD,2024-10-31,Pre-Seed,145000.0,USD,0.0,"Right Side Capital Management, Forum Ventures",0.6,1.7,2.4,25.00%,N,Greater New York Area,East Coast,Northeastern US,Healthcare & Biotech
Dataknobs,https://www.crunchbase.com/organization/dataknobs,2023-02-14,"Mamta Dhingra, Prashant Dhingra",11-50,"Dataknobs uses generative AI to transform raw data into higher-level concepts and build scalable, data-driven products.","Artificial Intelligence (AI), Data Center, Data Governance, Finance, Health Care, Manufacturing, Web Development","Artificial Intelligence (AI), Data and Analytics, Financial Services, Hardware, Health Care, Information Technology, Manufacturing, Science and Engineering, Software","Redmond, Washington, United States","Greater Seattle Area, West Coast, Western US",Active,Seed,1,500000.0,USD,2024-02-29,Angel,500000.0,USD,0.0,Unknown,0.0,-0.1,1.1,17.00%,N,Greater Seattle Area,West Coast,Western US,Fintech
Mascotte Health,https://www.crunchbase.com/organization/mascotte-health,2023-01-01,Bora Hamamcioglu,11-50,Mascotte Health is a tech-enabled veterinary practice operator.,"IT Infrastructure, Software, Veterinary","Health Care, Information Technology, Software","Miami, Florida, United States","Greater Miami Area, East Coast, Southern US",Active,Seed,2,0.0,USD,2024-01-01,Seed,1200000.0,USD,1.0,"Nuwa Capital, Core Vision Investments, Antenna Ventures, Annex Investments",-0.1,0.0,0.5,67.00%,N,Greater Miami Area,East Coast,Southern US,Enterprise Software
ACDC Battery Metals,https://www.crunchbase.com/organization/acdc-battery-metals,2024-01-01,Unknown,11-50,ACDC Battery Metals is a mining company that explores and develops projects for Nickel deposits.,"Battery, Mining, Precious Metals","Energy, Natural Resources","Canada, Kentucky, United States",Southern US,Active,Unknown,1,2000000.0,CAD,2024-07-03,Undisclosed,2000000.0,CAD,0.0,Unknown,0.3,0.0,1.5,0.00%,N,Southern US,Unknown,Unknown,Industrial & Other
TURF Network,https://www.crunchbase.com/organization/turf-84f8,2024-03-20,"Aditya Gautam, Dibyo Majumder",11-50,On-Demand Data Network for Specialised AI,"Artificial Intelligence (AI), Data Integration","Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software","San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",Active,Seed,2,50000.0,USD,2024-07-25,Pre-Seed,550000.0,USD,0.0,"Pivot, Draper Goren Blockchain",0.1,4.1,3.6,118.00%,N,San Francisco Bay Area,West Coast,Western US,AI & Data
HYKR,https://www.crunchbase.com/organization/hykr,2024-04-04,Unknown,11-50,Hykr is a mobility tech platform within the TaaS ecosystem,Unknown,Unknown,"Centennial, Colorado, United States","Greater Denver Area, Western US",Active,Seed,1,250000.0,USD,2025-01-01,Seed,250000.0,USD,0.0,Unknown,0.0,0.8,2.7,40.00%,N,Greater Denver Area,Unknown,Western US,Unknown
Nova Microsystems Inc.,https://www.crunchbase.com/organization/nova-microsystems-inc,2023-04-01,"Emmanuel Henri, Ryan Melissinos",11-50,Nova Microsystems is a cybersecurity company that offers continuous data analysis and dynamic AI-driven encryption for enhanced security.,"Artificial Intelligence (AI), Cyber Security","Artificial Intelligence (AI), Data and Analytics, Information Technology, Privacy and Security, Science and Engineering, Software","Fairfax, Virginia, United States","Washington DC Metro Area, East Coast, Southern US",Active,Seed,2,1000.0,USD,2024-06-01,Seed,251000.0,USD,1.0,Kerry O'Brien,-0.1,1.1,0.0,40.00%,N,Washington DC Metro Area,East Coast,Southern US,AI & Data
GLIMMER MENTAL HEALTH,https://www.crunchbase.com/organization/glimmer-mental-health,2023-01-01,Unknown,11-50,GLIMMER MENTAL HEALTH is a healthcare company.,"Health Care, Medical, Mental Health",Health Care,"Hollywood, Florida, United States","Greater Miami Area, East Coast, Southern US",Active,Seed,1,695485.0,USD,2024-01-12,Seed,695485.0,USD,0.0,LeverageVC,0.7,-0.3,1.8,0.00%,N,Greater Miami Area,East Coast,Southern US,Healthcare & Biotech
Hello.cv,https://www.crunchbase.com/organization/hello-cv,2024-03-06,Opeyemi Awoyemi,11-50,"Hello.cv offers domain names that helps people showcase their resume, portfolio, or professional story across job applications.","Domain Registrar, Human Resources, Identity Management","Administrative Services, Information Technology, Internet Services, Privacy and Security","Austin, Texas, United States",Southern US,Active,Seed,1,130000.0,USD,2024-03-06,Angel,130000.0,USD,1.0,Fast Forward Venture Studio and Fund,-0.1,-0.2,1.7,18.00%,N,Southern US,Unknown,Unknown,Other
AccoAI,https://www.crunchbase.com/organization/accoai,2023-02-05,"Alexander Loughry, Lance Fuchia",11-50,An AI-Powered Workspace for Accounting Firms,"Accounting, Generative AI, SaaS","Artificial Intelligence (AI), Financial Services, Professional Services, Software","Cupertino, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",Active,Seed,1,200000.0,USD,2024-04-01,Pre-Seed,200000.0,USD,0.0,EWOR,0.0,-0.2,0.0,64.00%,N,San Francisco Bay Area,Silicon Valley,Western US,AI & Data
Votal AI,https://www.crunchbase.com/organization/votal-ai,2024-07-01,"Bobby Gupta, Jyotirmoy Sundi",11-50,AI-Powered Hiring & Training,Unknown,Unknown,"San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",Active,Seed,1,1100000.0,USD,2024-12-15,Pre-Seed,1100000.0,USD,0.0,Unknown,2.6,4.9,4.2,400.00%,N,San Francisco Bay Area,West Coast,Western US,Unknown
ianai,https://www.crunchbase.com/organization/ianai-systems,2024-02-07,Ian Baek,11-50,"Ianai ERP is a cloud-based platform that unifies manufacturing, inventory, and sales.","Artificial Intelligence (AI), Enterprise Resource Planning (ERP), Predictive Analytics, SaaS","Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software","Anaheim, California, United States","Greater Los Angeles Area, West Coast, Western US",Active,Seed,1,2150000.0,USD,2024-04-01,Seed,2150000.0,USD,0.0,Unknown,0.0,6.2,8.3,300.00%,N,Greater Los Angeles Area,West Coast,Western US,AI & Data
"CarMucho, Inc.",https://www.crunchbase.com/organization/carmucho-inc,2024-01-04,Unknown,11-50,P2P Car Rental Provider,Travel,Travel and Tourism,"Orlando, Florida, United States","East Coast, Southern US",Active,Seed,1,550000.0,USD,2024-01-05,Pre-Seed,550000.0,USD,0.0,Unknown,0.0,0.0,1.2,50.00%,N,East Coast,Unknown,Southern US,Other
VenturEd,https://www.crunchbase.com/organization/ventured,2023-10-01,Kofi Hair-Ralston,51-100,VenturEd is a nonprofit organization that offers virtual internship program designed to connect students with innovative startups.,Unknown,Unknown,"Baltimore, Maryland, United States","Greater Baltimore-Maryland Area, East Coast, Southern US",Active,Seed,1,3100.0,USD,2025-01-01,Pre-Seed,3100.0,USD,0.0,Unknown,-0.2,0.7,-0.4,470.00%,N,Greater Baltimore-Maryland Area,East Coast,Southern US,Unknown
Dropleads,https://www.crunchbase.com/organization/dropleads,2024-09-20,Faizan Shabir,11-50,"Dropleads offers an API to access company data, supporting integrations for lead gen, enrichment, and sales tools.",Information Technology,Information Technology,"San Leandro, California, United States","San Francisco Bay Area, West Coast, Western US",Active,Seed,1,2500000.0,USD,2024-03-04,Seed,2500000.0,USD,1.0,InvestorClub,1.6,2.7,8.2,100.00%,N,San Francisco Bay Area,West Coast,Western US,Enterprise Software
Zodot,https://www.crunchbase.com/organization/zodot,2023-06-01,Dwayne Hurley,11-50,"End-to-end SaaS business suite, providing task management, project tracking, client management, and invoicing tools.","Business Development, Project Management, Small and Medium Businesses, Social Entrepreneurship, Web Development","Administrative Services, Community and Lifestyle, Other, Professional Services, Social Impact, Software","New York, New York, United States","Greater New York Area, East Coast, Northeastern US",Active,Seed,1,500000.0,USD,2024-06-05,Seed,500000.0,USD,0.0,Unknown,0.0,2.0,-0.4,13.00%,N,Greater New York Area,East Coast,Northeastern US,Enterprise Software
VS Health Group,https://www.crunchbase.com/organization/vs-health-group,2023-01-01,Unknown,11-50,VS Health Group is a consulting company that focuses on market access strategy and execution for pharmaceutical and biotech companies.,"Consulting, Health Care, Medical","Health Care, Professional Services","Andover, Massachusetts, United States","Greater Boston Area, East Coast, New England",Active,Seed,1,240000.0,USD,2024-04-01,Seed,240000.0,USD,0.0,Unknown,-0.1,1.7,1.1,67.00%,N,Greater Boston Area,East Coast,Northeastern US,Healthcare & Biotech
Himalipasal,https://www.crunchbase.com/organization/himalipasal-llc-b04e,2024-04-02,Manoj Regmi,11-50,Himalipasal is an online retail shop specializing in consumer products produced in or inspired by the Himalayan region.,Retail,Commerce and Shopping,"Los Angeles, California, United States","Greater Los Angeles Area, West Coast, Western US",Active,Seed,1,1000000.0,USD,2024-05-04,Seed,1000000.0,USD,1.0,OTHER INVESTORS,-0.1,-0.1,0.0,25.00%,N,Greater Los Angeles Area,West Coast,Western US,E-Commerce & Retail
Subprime Platforms,https://www.crunchbase.com/organization/subprime-platforms,2024-11-01,Shawn-Marc Melo,11-50,SaaS and Mobile App Developer,"Information Technology, Internet, Software","Information Technology, Internet Services, Software","Daytona Beach, Florida, United States","East Coast, Southern US",Active,Seed,1,350000.0,USD,2024-12-01,Pre-Seed,350000.0,USD,1.0,Shawn-Marc Melo,0.0,-0.2,-0.2,333.00%,N,East Coast,Unknown,Southern US,Enterprise Software
