Organization_Name,Organization_Name_URL,Founded_Date,Founders,Number_of_Employees,Description,Industries,Industry_Groups,Headquarters_Location,Headquarters_Regions,Postal_Code,Diversity_Spotlight,Estimated_Revenue_Range,Operating_Status,Funding_Status,Number_of_Funding_Rounds,Last_Funding_Amount,Last_Funding_Amount_Currency,Last_Funding_Date,Last_Funding_Type,Total_Funding_Amount,Total_Funding_Amount_Currency,Number_of_Lead_Investors,Top_5_Investors,Last_Leadership_Hiring_Date,Last_Layoff_Mention_Date,Trend_Score_7_Days,Trend_Score_30_Days,Trend_Score_90_Days,Growth_Trend,Active_Hiring,Job_Postings_on_Linkedin,Job_postings_on_official_website,Additional_Comment
Aha Global,https://www.crunchbase.com/organization/aha-lab,5/3/2024,,11-50,Aha is an influencer marketing platform that connects brands with content creators to deliver results-driven campaigns.,"Artificial Intelligence (AI), Marketing","Artificial Intelligence (AI), Data and Analytics, Sales and Marketing, Science and Engineering, Software","New Castle, Delaware, United States","Greater Philadelphia Area, East Coast, Southern US",19720,,,Active,Seed,2,,,11/20/2024,Seed,,,1,"GSR Ventures, Jinqiu Fund, Jinqiu Capital",,,0.0,-0.2,-0.4,54.00%,N,0,,
Drafter,https://www.crunchbase.com/organization/drafter-0bd0,1/1/2023,,11-50,"Drafter is a faster, cheaper, better way to get the drawings you need","Hardware, SaaS, Software","Hardware, Software","Austin, Texas, United States",Southern US,,,,Active,Seed,2,,,11/1/2024,Seed,,,1,"Bee Partners, focal, AuroraAxis Capital",,,0.0,-0.1,0.2,160.00%,Y,0,1,
Endorsed,https://www.crunchbase.com/organization/endorsed-1824,1/1/2024,"David Head, Jake Schwartz, Kevin Fu",11-50,Recruit at Superhuman Speed with AI,"Generative AI, Recruiting, Software","Artificial Intelligence (AI), Professional Services, Software","San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",,,$1M to $10M,Active,Seed,1,,,10/17/2024,Pre-Seed,,,,"Defy.vc, Pioneer Fund, Orange DAO",,,0.0,-0.3,0.2,17.00%,N,0,,
Brighterway,https://www.crunchbase.com/organization/brighterway-8814,1/1/2023,"Jason Apostol, Walker Wells",11-50,"Brighterway uses AI to streamline the medical record review process for physicians, particularly in medlegal exams.","Artificial Intelligence (AI), Health Care, Legal Tech","Artificial Intelligence (AI), Data and Analytics, Health Care, Professional Services, Science and Engineering, Software","San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",94104,,,Active,Seed,1,,,9/25/2024,Seed,,,,,,,0.0,-0.1,0.2,83.00%,N,0,,https://www.linkedin.com/company/brighterwayai/
Center for Green Market Activation,https://www.crunchbase.com/organization/center-for-green-market-activation,1/1/2024,Kim Carnahan,11-50,Center for Green Markets Activation is a non-profit organization that focuses on book-and-claim and collaborative procurement.,Non Profit,"Other, Social Impact","Washington, District of Columbia, United States","Washington DC Metro Area, Southern US",20036,,,Active,,1,,,6/12/2024,Grant,,,1,Bezos Earth Fund,,,0.6,5.7,5.2,60.00%,N,0,,
Dynamiq,https://www.crunchbase.com/organization/dynamiq-027f,1/1/2024,Vitalii Duk,11-50,"Launch, Orchestrate & Scale Autonomous AI Agents in Minutes",Software,Software,"San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",94133,,,Active,Seed,1,,,5/1/2024,Pre-Seed,,,1,"Geek Ventures, u.ventures, TA Ventures, Diaspora Ventures",,,0.3,-0.1,-0.1,7.00%,N,0,,
Almave,https://www.crunchbase.com/organization/almave,1/1/2023,,11-50,"Almave is a production company that creates alcohol-free tequila, offering a blue agave-based spirit as a non-alcoholic alternative.","Distillery, E-Commerce, Wine And Spirits","Commerce and Shopping, Food and Beverage","New York, New York, United States","Greater New York Area, East Coast, Northeastern US",10017,,,Active,,1,,,8/29/2024,Corporate Round,,,1,Pernod Ricard,,,-0.3,-0.9,5.5,100.00%,N,0,,
Cimphony,https://www.crunchbase.com/organization/cimphony,1/1/2023,Arpan Nanavati,11-50,Cimphony is a AI powered tool to run and grow your business,"Artificial Intelligence (AI), Enterprise Software, Legal, Legal Tech","Artificial Intelligence (AI), Data and Analytics, Professional Services, Science and Engineering, Software","San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",,,,Active,Seed,2,,,9/28/2024,Seed,,,2,"Alumni Ventures, Recursive Ventures, Script Capital, Hannah Grey, Streamlined Ventures",,,-0.1,-0.1,-0.2,125.00%,N,0,,
Quno AI,https://www.crunchbase.com/organization/quno-ai,1/1/2023,,11-50,Market Research on Autopilot,"Artificial Intelligence (AI), Enterprise Software, Market Research, Software","Artificial Intelligence (AI), Data and Analytics, Design, Science and Engineering, Software","San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",94158,,,Active,Seed,1,,,5/1/2024,Pre-Seed,,,,Pear VC,,,0.0,-0.2,-0.4,0.00%,N,0,,
Unixi,https://www.crunchbase.com/organization/unixi,1/1/2023,"Chad Gerstensang, Reuvein Vinokurov",11-50,"Unixi’s universal SSO. No integrations, no SSO tax - just passwordless access with 100% SaaS app coverage","Information Technology, Network Security, Outsourcing","Information Technology, Privacy and Security, Professional Services","Brookline, Massachusetts, United States","Greater Boston Area, East Coast, New England",2445,,,Active,Seed,1,,,9/13/2024,Seed,,,1,"Alumni Ventures, Hyperwise Ventures",,,0.0,-0.1,-0.1,40.00%,N,0,,
HyperWater,https://www.crunchbase.com/organization/hyperwater,10/9/2024,Lee Blaylock,11-50,"An AI Driven Bidding Network for Commercial GCs, Subs and Suppliers","Artificial Intelligence (AI), Construction, Internet, Machine Learning, Software","Artificial Intelligence (AI), Data and Analytics, Internet Services, Real Estate, Science and Engineering, Software","Dallas, Texas, United States","Dallas/Fort Worth Metroplex, Southern US",75206,,,Active,Seed,1,,,11/23/2024,Pre-Seed,,,,,,,0.0,0.3,2.7,63.00%,N,0,,
Clarative,https://www.crunchbase.com/organization/clarative,1/1/2023,,11-50,Clarative is an software company that provides AI-based vendor and contract performance management platform for clients.,"Artificial Intelligence (AI), Data Management, Software","Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software","San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",94117,,,Active,Seed,1,,,6/24/2024,Seed,,,,Plug & Play,,,0.0,0.0,1.0,17.00%,N,0,,
Spring,https://www.crunchbase.com/organization/springreal,2/1/2024,"Gilad Levy, Nitzan Eretz-kdoshai",11-50,The future of selling homes,"Artificial Intelligence (AI), FinTech, PropTech, Real Estate, Sales Automation, Software","Artificial Intelligence (AI), Data and Analytics, Financial Services, Information Technology, Real Estate, Sales and Marketing, Science and Engineering, Software","New York, New York, United States","Greater New York Area, East Coast, Northeastern US",,,,Active,Seed,1,,,11/30/2024,Pre-Seed,,,,"Second Century Ventures, David Nehaice, Rachel Gavrieli, Wizmode, Alexander Szikla",,,0.0,-0.2,0.2,60.00%,N,0,,
Alert AI,https://www.crunchbase.com/organization/alert-ai,1/3/2024,Srinivas M.,11-50,"Alert AI ""Secure AI Anywhere"" Zero Trust AI Security gateway, #1 Agentic AI, GenAI, AI Security, Posture, Risk Management.","Artificial Intelligence (AI), Cyber Security, Information Technology","Artificial Intelligence (AI), Data and Analytics, Information Technology, Privacy and Security, Science and Engineering, Software","Milpitas, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",,,,Active,Seed,1,,,1/3/2024,Seed,,,,,,,-0.1,0.0,0.0,0.00%,N,0,,
Ogment,https://www.crunchbase.com/organization/ogment-bcf4,1/1/2024,"Amaury Soviche, Nicolas Perony, Teo Borschberg",11-50,Ogment makes employees 10x more efficient by letting them connect their work apps into ChatGPT/Claude to automate white-collar tasks.,"Artificial Intelligence (AI), Human Resources, Information Technology, Productivity Tools","Administrative Services, Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software","San Mateo, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",,,,Active,,1,,,10/1/2024,Venture - Series Unknown,,,,Connect Ventures,,,0.0,-0.1,0.0,29.00%,N,0,,
Dime,https://www.crunchbase.com/organization/dime-7d1d,3/10/2023,Abby Huang,11-50,Dime enables companies to penetrate the Gen Z market.,"Marketing, Software","Sales and Marketing, Software","New York, New York, United States","Greater New York Area, East Coast, Northeastern US",,,,Active,,1,,,7/1/2024,Undisclosed,,,,,,,-0.1,1.3,-0.3,40.00%,N,0,,
GenAIx,https://www.crunchbase.com/organization/genai-consulting,7/5/2024,"David Gray, Eric Steeves, Gloriaivett Mendez, Jaime Aguirre, Kayla Ard, Keshav GANESHBABU, Nirel Amoyaw, Noah Habtemichael, Saketh gunda, Yujen Lin",11-50,"AI Education & Upskilling for career, Making the world AI fluent","Artificial Intelligence (AI), Education, Generative AI","Artificial Intelligence (AI), Data and Analytics, Education, Science and Engineering, Software","New York, New York, United States","Greater New York Area, East Coast, Northeastern US",10003,,,Active,Seed,1,,,10/11/2024,Pre-Seed,,,,,,,0.0,-0.2,0.0,167.00%,Y,0,5,
Dayos,https://www.crunchbase.com/organization/dayos,1/1/2023,Brad McElhannon,11-50,"Agentic AI, Human + AI Support, Legacy Systems Integration","Artificial Intelligence (AI), Consulting, Financial Services, FinTech, Information Technology, Management Information Systems","Artificial Intelligence (AI), Data and Analytics, Financial Services, Information Technology, Professional Services, Science and Engineering, Software","San Mateo, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",94402,,,Active,Seed,1,,,5/1/2024,Pre-Seed,,,,,,,0.1,0.3,2.2,5.00%,N,0,,
Selfii,https://www.crunchbase.com/organization/selfii,1/1/2023,"Anil Sethi, Glenn Keet, Riddhiman Das",11-50,Selfii is a healthcare data collection platform used to support monetization of patient-consented data.,"Analytics, Data Management, Health Care, Medical","Data and Analytics, Health Care","Miami, Florida, United States","Greater Miami Area, East Coast, Southern US",,,,Active,Seed,1,,,10/1/2024,Seed,,,,"Nina Capital, Wavemaker 360",,,0.0,-0.2,-0.2,13.00%,N,0,,
Airchat,https://www.crunchbase.com/organization/airchat-37bc,1/1/2023,,11-50,Airchat is a social networking platform offering chat rooms for diverse discussions and peer-to-peer chats.,"Chatbot, Peer to Peer, Social Network","Internet Services, Other, Software","Wilmington, California, United States","Greater Los Angeles Area, West Coast, Western US",19801,,,Active,,2,,,4/23/2024,Undisclosed,,,1,"M13, Sam Altman",,,-0.1,-0.2,0.2,86.00%,N,0,,
Family Office Resource Group,https://www.crunchbase.com/organization/family-office-resource-group,1/1/2024,Brian Weiner,11-50,Family Office Resource Group enables asset management organizations with customized family office solutions.,"Financial Services, Information Technology, Management Consulting","Financial Services, Information Technology, Professional Services","Boca Raton, Florida, United States","Greater Miami Area, East Coast, Southern US",,,,Active,Seed,1,,,10/8/2024,Pre-Seed,,,1,4100FS,8/6/2025,,-0.1,-0.7,1.5,133.00%,N,0,,
Facilis.ai,https://www.crunchbase.com/organization/facilis-ai,1/1/2023,,11-50,Facilis.ai is an autonomous AI agent that trivializes manufacturing analytics and process control using Industrial Autonomous AI Agents.,"Generative AI, Internet of Things, Software","Artificial Intelligence (AI), Internet Services, Software","Sunnyvale, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",94085,,,Active,Seed,1,,,4/9/2024,Pre-Seed,,,,Plug and Play,,,0.0,1.6,4.1,17.00%,N,0,,
SECeDGE,https://www.crunchbase.com/organization/secedge,1/1/2023,"Rick Clemmer, Sami Nassar",11-50,SecEdge is a digital security leader for IoT and Edge devices.,"Embedded Systems, Software","Hardware, Science and Engineering, Software","Fall City, Washington, United States","Greater Seattle Area, West Coast, Western US",WA 98024,,,Active,Early Stage Venture,1,,,10/21/2024,Series A,,,1,Convergia,,,0.4,0.1,1.5,12.00%,N,0,,
Siprocal,https://www.crunchbase.com/organization/siprocal,1/1/2023,,11-50,"Siprocal is a next-generation gaming distribution and engagement platform that leverages premier, direct audience access and insight.",Gaming,Gaming,"Miami, Florida, United States","Greater Miami Area, East Coast, Southern US",33131,,$1M to $10M,Active,Private Equity,2,,,3/28/2024,Private Equity,,,,"NewBound Venture Capital, Solace Capital Partners",,,0.0,-0.2,-0.4,-5.00%,N,0,,https://www.linkedin.com/company/siprocal/?originalSubdomain=br
Claimbrite,https://www.crunchbase.com/organization/stealth-startup-6167,1/1/2024,"Akash Gupta, Alexander Polyansky, Anthony Khong, Arthur Leopold, Cedric Bals, Chao Gao, Garrett Ullom, Jas Randhawa, Kumbirai Calton Gwanzura, Mark Fedin, Ofir Stein, Robert Cornish, Ross Salupo, Samuel Frey, Siddhant Raniwala, Sumith Bangarwa, Tee Ming Chew, Thom McCann, William O'Brien, Ying Xie",11-50,Mediation for personal injury claims,"Information Technology, Insurance","Financial Services, Information Technology","Boulder, Colorado, United States","Greater Denver Area, Western US",,,,Active,Seed,2,,,1/24/2024,Non-equity Assistance,,,1,"Triangle Tweener Fund, CyberTech|X Accelerator",,,-0.1,0.0,-0.2,40.00%,N,0,,
Throne SPORT COFFEE,https://www.crunchbase.com/organization/throne-sport-coffee,1/1/2024,Michael Fedele,11-50,Throne SPORT COFFEE provides ready-to-drink iced coffee.,"Coffee, Food and Beverage, Personal Health, Wellness","Food and Beverage, Health Care","Stamford, Connecticut, United States","East Coast, New England, Northeastern US",6907,,,Active,Seed,1,,,5/16/2024,Seed,,,1,Patrick Mahomes,,,0.1,-0.3,2.0,30.00%,N,0,,
Qualz.ai,https://www.crunchbase.com/organization/qualz-ai,9/13/2023,Prajwal Paudyal,11-50,"GenAI, Market Research, Generative AI","Generative AI, Market Research, Product Research, Software","Artificial Intelligence (AI), Data and Analytics, Design, Software","Cincinnati, Ohio, United States","Great Lakes, Midwestern US",45140,,,Active,Seed,1,,,11/1/2024,Pre-Seed,,,,Prajwal Paudyal,,,0.0,0.9,4.2,21.00%,N,0,,
EDGLRD,https://www.crunchbase.com/organization/edglrd,1/1/2023,,11-50,"EDGLRD collaborates with a network of top musicians, filmmakers, and artists.","Animation, Digital Entertainment, Online Games","Gaming, Media and Entertainment, Video","Miami, Florida, United States","Greater Miami Area, East Coast, Southern US",,,Less than $1M,Active,Private Equity,1,,,8/20/2024,Private Equity,,,1,"Reuben Brothers, Samizdat",,,0.2,-0.4,-0.6,19.00%,N,0,,
Hillbot,https://www.crunchbase.com/organization/hillbot,1/1/2024,,11-50,"Hillbot is an embodied AI startup that offers advanced solutions in robotics, simulation, and 3D generative AI.","3D Technology, Artificial Intelligence (AI), Generative AI, Robotics, Simulation","Artificial Intelligence (AI), Data and Analytics, Hardware, Science and Engineering, Software","La Jolla, California, United States","Greater San Diego Area, West Coast, Western US",92093,,,Active,Seed,1,,,1/1/2025,Seed,,,,Cherubic Ventures,,,0.7,9.5,9.5,16.00%,Y,0,19,
PointAI,https://www.crunchbase.com/organization/pointai,8/20/2023,Azamat Khamidov,11-50,"Achieve true support automation with AI that connects seamlessly with external services, resolving complex issues without human intervention",Artificial Intelligence (AI),"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software","San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",,,,Active,Seed,2,,,2/29/2024,Pre-Seed,,,1,"Plug and Play, DOMiNO Ventures, AloqaVentures",,,0.0,-0.3,-0.3,0.00%,N,0,,
Circular Labs,https://www.crunchbase.com/organization/circular-protocol,1/1/2023,"David Cutler, Gianluca De Novi",11-50,"Circular Labs builds blockchain technology that make DeSci and healthcare secure, compliant, and ready for innovation.","Blockchain, Decentralized Finance (DeFi), Medical, Software Engineering","Blockchain and Cryptocurrency, Health Care, Other, Science and Engineering, Software","Belmont, Massachusetts, United States","Greater Boston Area, East Coast, New England",2478,,,Active,Seed,1,,,8/23/2024,Pre-Seed,,,,,,,0.0,0.3,1.3,0.00%,N,0,,
Collective OS,https://www.crunchbase.com/organization/collective-os,1/1/2024,"Freddie Laker, Jason Flack",11-50,"Collective OS is a data partnership platform, empowering professional service firms to flex their capabilities through shared services.","Artificial Intelligence (AI), Consulting, Enterprise Software, Professional Services, SaaS, Software","Artificial Intelligence (AI), Data and Analytics, Other, Professional Services, Science and Engineering, Software","Miami, Florida, United States","Greater Miami Area, East Coast, Southern US",,,,Active,Seed,1,,,5/1/2024,Pre-Seed,,,,,,,-0.1,-0.5,0.0,7.00%,N,0,,
Channel 1,https://www.crunchbase.com/organization/channel-1,1/1/2023,Adam Mosam,11-50,Channel 1 is about the Personalized Global News Network.,"Information Technology, News","Content and Publishing, Information Technology, Media and Entertainment","Los Angeles, California, United States","Greater Los Angeles Area, West Coast, Western US",,,,Active,Seed,1,,,9/1/2024,Seed,,,1,AiNews.com,,,0.3,0.1,2.1,12.00%,N,0,,
Lucid Financials,https://www.crunchbase.com/organization/lucid-financials,1/1/2023,"Erez Lankri, Tomer Lankri",11-50,"Lucid Financials is an AI-based finance platform that offers automated bookeeping, tax, cash flow, forecasts, and KPI tracking.","Artificial Intelligence (AI), FinTech, Software","Artificial Intelligence (AI), Data and Analytics, Financial Services, Science and Engineering, Software","New York, New York, United States","Greater New York Area, East Coast, Northeastern US",10022,,,Active,Seed,1,,,2/28/2024,Angel,,,,"Doron Goldberg, Ariel Mensche, Erez Naveh, Lior Ben Gigi, Ronen Naveh",,,0.0,-0.2,2.2,50.00%,Y,0,4,
RAY,https://www.crunchbase.com/organization/ray-4d1e,11/1/2023,"Franco Breciano, Santiago Sabaté, Sebastian Cadenas",11-50,We help restaurants make more money by driving more Walk-Ins,"Artificial Intelligence (AI), SaaS, Software","Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software","Miami, Florida, United States","Greater Miami Area, East Coast, Southern US",33149,,$1M to $10M,Active,Seed,1,,,1/1/2025,Seed,,,,Wayra Hispam,,,0.0,-0.2,0.9,4.00%,N,0,,
Teamfront,https://www.crunchbase.com/organization/teamfront,1/1/2023,,51-100,"Teamfront is a provider of business management software, payments solutions, and services.",Software,Software,"Austin, Texas, United States",Southern US,,,,Active,Private Equity,1,,,2/7/2024,Private Equity,,,1,Mainsail Partners,,,0.0,-0.2,-0.4,28.00%,N,0,,
Answer.AI,https://www.crunchbase.com/organization/answer-ai,1/1/2023,,101-250,"Answer.AI helps students with AI-powered homework help, tutoring, admissions, and academic support.","Education, Generative AI, Machine Learning","Artificial Intelligence (AI), Data and Analytics, Education, Software","Santa Clara, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",,,,Active,Seed,1,,,3/29/2024,Seed,,,,Plug and Play,,,0.0,-0.1,0.0,34.00%,N,0,,
TykeVision,https://www.crunchbase.com/organization/tykevision,1/1/2023,Venkatesh Radhakrishnan,11-50,TykeVision provides an AI copilot for code change impact assessment and automated test creation.,"Artificial Intelligence (AI), Information Technology, Software","Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software","Austin, Texas, United States",Southern US,,,,Active,Seed,1,,,1/1/2024,Seed,,,,DeVC,,,-0.1,-0.3,0.9,11.00%,N,0,,
Kniru,https://www.crunchbase.com/organization/kniru,1/1/2023,,11-50,Kniru provides AI-powered financial advice and education to all individuals.,"Finance, Financial Services, Software","Financial Services, Software","Austin, Texas, United States",Southern US,,,,Active,Seed,1,,,1/1/2024,Pre-Seed,,,,IIMA Ventures,,,0.0,0.0,0.0,20.00%,N,0,,
Citation Capital,https://www.crunchbase.com/organization/citation-capital,1/1/2023,,11-50,Citation Capital is a private equity firm that helps with investments and financing for SMEs and other firms.,"Financial Services, Funding Platform, Venture Capital","Financial Services, Lending and Investments","Dallas, Texas, United States","Dallas/Fort Worth Metroplex, Southern US",TX 75219,,,Active,Private Equity,1,,,7/8/2024,Private Equity,,,1,Capital Constellation,,,0.0,-0.1,-3.0,0.00%,N,0,,
Alan Health,https://www.crunchbase.com/organization/alan-meds,1/1/2024,,11-50,"Alan Health is a healthcare company that provides personalized, results-driven wellness solutions.","Health Care, Personalization, Wellness","Commerce and Shopping, Health Care","New York, New York, United States","Greater New York Area, East Coast, Northeastern US",,,,Active,Seed,2,,,8/19/2024,Seed,,,,Flybridge,,,0.0,0.4,3.9,41.00%,N,0,,
Autentik AI,https://www.crunchbase.com/organization/autentik-ai,1/1/2023,,11-50,"Digital tools to improve workplace communications, foster inclusivity, and bridge cultural differences.","Information Technology, Productivity Tools, SaaS, Software, Wellness","Health Care, Information Technology, Software","Wilmington, Delaware, United States","Greater Philadelphia Area, East Coast, Southern US",19801,,,Active,Seed,2,,,4/9/2024,Pre-Seed,,,,,,,-0.1,-0.3,1.2,13.00%,N,0,,
Sadiq.AI Inc.,https://www.crunchbase.com/organization/sadiq-ai-inc,11/13/2024,Ali Raza Anis,11-50,AI and AR driven B2B2C social commerce marketplace,"Artificial Intelligence (AI), Augmented Reality, E-Commerce, Marketplace","Artificial Intelligence (AI), Commerce and Shopping, Data and Analytics, Hardware, Science and Engineering, Software","Dover, Delaware, United States","East Coast, Southern US",,,,Active,Seed,1,,,12/17/2024,Pre-Seed,,,,"Orbit Startups, Sanabil",,,0.0,-0.1,0.2,13.00%,N,0,,
Axio,https://www.crunchbase.com/organization/axio-9885,1/1/2023,Mark Naufel,11-50,Axio is an AI ecosystem that transforms the technology powering educational institutions from recruitment to personalized instruction.,"Artificial Intelligence (AI), Education, Information Technology","Artificial Intelligence (AI), Data and Analytics, Education, Information Technology, Science and Engineering, Software","Scottsdale, Arizona, United States","Greater Phoenix Area, Western US",,,,Active,Seed,1,,,6/28/2024,Pre-Seed,,,,Mercuri,,,-0.1,-0.4,-0.3,8.00%,N,0,,
12Port Inc,https://www.crunchbase.com/organization/12port-inc,9/1/2024,"Mark Klinchin, Peter Senescu",11-50,Enterprise Security Software Company,"Cloud Security, Cyber Security, Enterprise Software, Network Security, Security","Information Technology, Privacy and Security, Software","Exton, Pennsylvania, United States","Greater Philadelphia Area, Great Lakes, Northeastern US",19341,,,Active,Seed,1,,,9/4/2024,Pre-Seed,,,,,,,0.7,-0.2,-0.3,25.00%,N,0,,
Dimension Studios,https://www.crunchbase.com/organization/dimension-studios,8/1/2024,Ali Mirzaei,11-50,Dimension Studios is an AI-driven social commerce platform that accelerates consumer brands on TikTok Shop and beyond,"Advertising, Artificial Intelligence (AI), E-Commerce Platforms, Marketing Automation, SaaS, Social Shopping, Software","Advertising, Artificial Intelligence (AI), Commerce and Shopping, Data and Analytics, Internet Services, Sales and Marketing, Science and Engineering, Software","Santa Monica, California, United States","Greater Los Angeles Area, West Coast, Western US",90401,,,Active,Seed,1,,,9/16/2024,Pre-Seed,,,,Science,,,0.0,9.2,9.4,83.00%,N,0,,
RiskLayer,https://www.crunchbase.com/organization/risklayer,1/1/2024,,11-50,RiskLayer is an economic security middleware for DeFi.,,,"San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",,,,Active,Seed,1,,,7/25/2024,Pre-Seed,,,2,"Antler, CoinSwitch, Paul Taylor, Momentum 6, Richard Ma",,,4.2,3.8,0.1,14.00%,N,0,,
Rhome,https://www.crunchbase.com/organization/rhome-0e14,4/10/2023,Bronson Hixon,11-50,"Rhome is a global homeownership platform empowered by co-ownership, allowing users to buy, share, swap, and build equity in real estate.","B2C, Commercial, Wealth Management","Financial Services, Other","Indianapolis, Indiana, United States","Great Lakes, Midwestern US",,,,Active,Seed,1,,,1/1/2025,Pre-Seed,,,,"Elevate Ventures, Access Ventures, Platform Venture Studio",,,-0.1,0.0,1.7,0.00%,N,0,,
RedlineDCS,https://www.crunchbase.com/organization/redlinedcs,1/1/2024,Jan Tomaszewski,11-50,Secure Document Collaboration Solutions,"Artificial Intelligence (AI), Commercial Real Estate, Financial Services, FinTech, Legal Tech, Software","Artificial Intelligence (AI), Data and Analytics, Financial Services, Professional Services, Real Estate, Science and Engineering, Software","Brooklyn, New York, United States","Greater New York Area, East Coast, Northeastern US",,,,Active,Seed,1,,,2/1/2024,Pre-Seed,,,,,,,-0.1,-0.1,1.0,33.00%,N,0,,
Intelagen,https://www.crunchbase.com/organization/cloudbench-39d7,9/6/2023,Tom Richer,51-100,"Intelagen is at the forefront of value-driven emerging technology consulting, with a focus on Artificial Intelligence and Web3.",Information Technology,Information Technology,"Saint Petersburg, Florida, United States","Tampa Bay Area, East Coast, Southern US",33702,,,Active,Seed,1,,,5/2/2024,Pre-Seed,,,1,Alpha Transform Holdings,,,-0.1,-0.4,-0.7,75.00%,N,0,,
Movestax,https://www.crunchbase.com/organization/movestax,7/1/2023,"Juliana Oizerovici, Marcelo Cauduro, Thiago Caserta",11-50,Movestax is a full-stack serverless cloud platform,"Cloud Computing, Cloud Infrastructure, Cloud Management, Cloud Storage, Enterprise Software, Private Cloud, Software","Hardware, Information Technology, Internet Services, Software","Miami, Florida, United States","Greater Miami Area, East Coast, Southern US",33134,,Less than $1M,Active,Seed,1,,,4/1/2024,Pre-Seed,,,1,Plug and Play,,,0.8,0.0,-0.1,17.00%,N,0,,
ExistX,https://www.crunchbase.com/organization/existx,1/1/2023,,11-50,"ExistX creates and delivers digital solutions, focusing on bridging the gap between revolutionary research and field-ready.","Software, Web Development",Software,"Arlington, Virginia, United States","Washington DC Metro Area, East Coast, Southern US",22203,,,Active,Seed,1,,,12/30/2024,Seed,,,1,Hale Capital Partners,,,0.5,0.8,0.0,40.00%,N,0,,
Mazama,https://www.crunchbase.com/organization/mazama,1/1/2023,,11-50,Mazama Energy is a geothermal operator and development firm committed to developing new techniques and technology for removing heat.,Geothermal Energy,"Energy, Sustainability","Seattle, Washington, United States","Greater Seattle Area, West Coast, Western US",,,,Active,,1,,,11/21/2024,Grant,,,1,US Department of Energy,,,0.1,-0.1,2.3,33.00%,N,0,,
Ritual Dental,https://www.crunchbase.com/organization/ritual-dental,1/1/2023,Arman Ozgun,11-50,Personalized preventative oral care that helps you and your whole family form dental habits that stick.,"Dental, Health Care, Personal Health",Health Care,"New York, New York, United States","Greater New York Area, East Coast, Northeastern US",10013,,,Active,Seed,1,,,10/29/2024,Pre-Seed,,,,SmartGateVC,,,0.1,0.9,2.8,14.00%,N,0,,
WellPro AI,https://www.crunchbase.com/organization/wellpro-ai,2/4/2024,"Aditya Suri, Arthur Swanson, David Lefkovits, Paul F. Edge",11-50,AI-Native Clinical Workflow & Decision Support for Personalized Medicine,"B2B, Health Care, SaaS","Health Care, Other, Software","Atlanta, Georgia, United States","Greater Atlanta Area, East Coast, Southern US",,,,Active,Seed,1,,,11/4/2024,Pre-Seed,,,1,MarketCap Investments,,,-0.2,-0.5,-0.4,67.00%,N,0,,
Dellwood Insurance,https://www.crunchbase.com/organization/dellwood-insurance,1/1/2024,"Kean Driscoll, Michael Price",51-100,Dellwood Insurance is an innovative excess & surplus lines (E&S) insurance company.,"Financial Services, Insurance",Financial Services,"Summit, New Jersey, United States","Greater New York Area, East Coast, Northeastern US",7901,,,Active,Seed,1,,,3/7/2024,Seed,,,,"RenaissanceRe Holdings, Central Insurance Companies, Starr Insurance, PartnerRe, Vincent J. Dowling",,,-0.1,2.3,-0.2,108.00%,N,0,,
Lilypad,https://www.crunchbase.com/organization/lilypad-f3ad,1/1/2024,,11-50,Lilypad is an edutech platform that connects public schools with psychologists to evaluate students with learning disabilities.,"EdTech, Education, Mental Health","Education, Health Care, Software","New York, New York, United States","Greater New York Area, East Coast, Northeastern US",10016,,,Active,Seed,1,,,3/21/2024,Pre-Seed,,,,SBXi,,,0.0,-0.3,-0.1,80.00%,N,0,,
Rise In,https://www.crunchbase.com/organization/rise-in,9/1/2023,,11-50,Rise In is an innovative education platform.,"Education, Software","Education, Software","Boston, Massachusetts, United States","Greater Boston Area, East Coast, New England",2144,,Less than $1M,Active,,1,,,1/1/2024,Grant,,,,Open Campus,,,0.4,1.7,3.2,31.00%,N,0,,
